city,street,house_number,zip5,zip7
אשדוד,הלל,00009,77651,7765137
מגדל העמק,שומרון,00010,23014,2301455
ראשון לציון,הרצל,00095,75262,7526204
קריית ים,המעפילים,00001,29046,2904601
שוהם,שקמה,00002,60850,6082196
תל אביב - יפו,"לח""י",00086,67654,6765491
חולון,ההסתדרות,00209,58829,5882906
חיפה,הקבוצים,00058,26255,2625505
קריית טבעון,גולומב,00041,36022,3602263
קריית גת,שד גת,00038,82082,8208226
קריית ביאליק,יוספטל גיורא,00007,27081,2708114
בית שאן,?,00001,11726,1172601
נתניה,יוספטל,00000,42395,4239500
בית שמש,אשר,00013,99546,9954613
בת ים,הרב לוי,00012,59647,5964716
עפולה,שדה יצחק,00095,18520,1852085
פרדס חנה-כרכור,לוטם,00006,37157,3715734
תל אביב - יפו,הצבי,00014,67197,6719713
בית שאן,"חטיבת הנח""ל",00003,11804,1180411
פרדס חנה-כרכור,אבוקה,00013,37019,3701958
גבעתיים,השומר,00003,53221,5322114
נתניה,האומנות,00020,42504,4250449
תל אביב - יפו,קהילת לודג',00003,69709,6970915
אופקים,קארו יוסף,00004,87569,8756954
תל אביב - יפו,הרב פרידמן,00037,62303,6230337
חולון,"י""א באדר",00019,58314,5831413
רחובות,?,00000,76432,7643200
נצרת,רח 7054,00020,16507,1651855
נתניה,הרצל,00038,42392,4239210
תל אביב - יפו,סמ נס ציונה,00004,63324,6332003
בני ברק,הרב זיטניצקי,00005,51432,5143205
חדרה,"רמח""ל",00046,38571,3857145
אשדוד,הנביא מיכה,00004,77460,7746030
חיפה,דרך הים,00013,34631,3463107
רעננה,דולב,00010,43662,4366210
ירושלים,אל בדריה,00016,97028,9702805
חדרה,הלוי,00017,38491,3849145
קריית אונו,אשכול לוי,00129,55400,5540032
ירושלים,מן,00007,93711,9371142
מעלות-תרשיחא,מעלה המדרגות,00007,21550,2155251
גני תקווה,הרימון,00031,55900,5592232
ירושלים,אל בדריה,00020,97028,9702809
ירושלים,מזרחי יוסף,00005,95203,9520305
פתח תקווה,חפץ חיים,00043,49350,4935048
ירושלים,גדוד החמישי,00018,97533,9753315
אשדוד,המגיד,00001,77625,7762518
הרצליה,מובשוביץ בנימין,00015,46405,4640515
רמת גן,לאן,00014,52492,5249218
יבנה,האלון,00015,81543,8154384
גבעת זאב,מצפה,00005,90917,9064603
ירושלים,האורן,00009,95743,9574309
מעלה אדומים,העשור,00032,98360,9836026
ראש העין,תבור,00013,48561,4856768
תל אביב - יפו,הדואר,00008,68029,6802937
קריית גת,"שד צה""ל",00000,82201,8220100
נתניה,שלמה המלך,00014,42268,4226807
באר שבע,אהרליך פאול,00007,84831,8482202
באר שבע,דרך שמשון,00016,84472,8447205
ראשון לציון,נחמיה,00053,75523,7552301
תל אביב - יפו,בני משה,00008,62308,6230811
פרדס חנה-כרכור,קנאים,00019,37066,3706032
אשקלון,איגר עקיבא,00007,78277,7827709
חיפה,זולא אמיל,00009,35431,3543105
ראשון לציון,העוגן,00026,75439,7540746
ירושלים,בן ציון,00015,95423,9542321
צפת,שפרינצק,00141,13351,1335136
אור יהודה,שפרינצק,00011,60262,6026234
ירושלים,סנונית,00019,93854,9385413
